province,date,tempMax,tempMin,tempAvg,precipitation,humidity,source,year,month,day
"bangkok","2020-05-20",34.80,28.50,31.65,0.10,64.83,"open-meteo",2020,05,20
"bangkok","2020-05-21",34.70,27.50,31.10,2.10,71.65,"open-meteo",2020,05,21
"bangkok","2020-05-22",36.70,27.60,32.15,0.00,63.77,"open-meteo",2020,05,22
"bangkok","2020-05-23",36.50,29.00,32.75,1.80,68.28,"open-meteo",2020,05,23
"bangkok","2020-05-24",33.20,27.70,30.45,4.00,78.32,"open-meteo",2020,05,24
"bangkok","2020-05-25",32.20,27.50,29.85,5.00,82.22,"open-meteo",2020,05,25
"bangkok","2020-05-26",32.90,27.20,30.05,2.80,75.33,"open-meteo",2020,05,26
"bangkok","2020-05-27",34.70,27.80,31.25,2.20,71.72,"open-meteo",2020,05,27
"bangkok","2020-05-28",34.20,27.40,30.80,0.80,68.20,"open-meteo",2020,05,28
"bangkok","2020-05-29",31.60,26.50,29.05,7.80,83.42,"open-meteo",2020,05,29
"bangkok","2020-05-30",32.00,26.50,29.25,2.80,76.53,"open-meteo",2020,05,30
"bangkok","2020-05-31",33.20,27.00,30.10,2.30,73.75,"open-meteo",2020,05,31
"bangkok","2020-06-01",32.20,27.20,29.70,1.40,71.65,"open-meteo",2020,06,01
"bangkok","2020-06-02",32.50,26.10,29.30,28.00,83.05,"open-meteo",2020,06,02
"bangkok","2020-06-03",33.00,26.40,29.70,4.00,79.45,"open-meteo",2020,06,03
"bangkok","2020-06-04",32.90,26.20,29.55,1.60,72.48,"open-meteo",2020,06,04
"bangkok","2020-06-05",32.50,26.80,29.65,3.30,77.43,"open-meteo",2020,06,05
"bangkok","2020-06-06",32.80,26.50,29.65,0.80,69.93,"open-meteo",2020,06,06
"bangkok","2020-06-07",31.80,27.00,29.40,1.30,71.80,"open-meteo",2020,06,07
"bangkok","2020-06-08",31.40,26.50,28.95,7.40,83.58,"open-meteo",2020,06,08
"bangkok","2020-06-09",32.60,27.00,29.80,3.10,76.60,"open-meteo",2020,06,09
"bangkok","2020-06-10",32.80,26.50,29.65,1.10,70.83,"open-meteo",2020,06,10
"bangkok","2020-06-11",33.50,25.50,29.50,1.00,70.75,"open-meteo",2020,06,11
"bangkok","2020-06-12",35.80,26.60,31.20,6.70,80.20,"open-meteo",2020,06,12
"bangkok","2020-06-13",34.80,26.10,30.45,3.40,76.53,"open-meteo",2020,06,13
"bangkok","2020-06-14",35.20,27.20,31.20,7.60,80.20,"open-meteo",2020,06,14
"bangkok","2020-06-15",30.00,25.50,27.75,8.30,85.38,"open-meteo",2020,06,15
"bangkok","2020-06-16",30.60,26.00,28.30,20.70,84.55,"open-meteo",2020,06,16
"bangkok","2020-06-17",30.70,26.00,28.35,12.10,84.47,"open-meteo",2020,06,17
"bangkok","2020-06-18",31.70,25.60,28.65,0.50,70.53,"open-meteo",2020,06,18
"bangkok","2020-06-19",31.60,25.40,28.50,3.70,80.35,"open-meteo",2020,06,19
"bangkok","2020-06-20",33.50,25.50,29.50,0.10,68.05,"open-meteo",2020,06,20
"bangkok","2020-06-21",33.30,26.40,29.85,1.20,70.83,"open-meteo",2020,06,21
"bangkok","2020-06-22",33.50,26.10,29.80,3.50,77.80,"open-meteo",2020,06,22
"bangkok","2020-06-23",31.60,26.10,28.85,3.50,79.22,"open-meteo",2020,06,23
"bangkok","2020-06-24",32.50,26.70,29.60,2.60,75.40,"open-meteo",2020,06,24
"bangkok","2020-06-25",32.30,26.60,29.45,6.00,82.83,"open-meteo",2020,06,25
"bangkok","2020-06-26",31.70,26.50,29.10,1.90,74.05,"open-meteo",2020,06,26
"bangkok","2020-06-27",32.00,25.70,28.85,6.40,83.72,"open-meteo",2020,06,27
