province,period,avgTemperature,avgRainfall,avgHumidity,weatherScore,year,month
"trat","2024-01",28.26,1.59,72.25,97,2024,01
"trat","2024-02",28.41,2.13,75.28,93,2024,02
"trat","2024-03",28.70,4.46,77.73,90,2024,03
"trat","2024-04",30.87,1.98,71.62,84,2024,04
"trat","2024-05",29.58,10.10,78.99,82,2024,05
"trat","2024-06",27.49,19.41,83.11,78,2024,06
"trat","2024-07",26.54,26.18,86.47,74,2024,07
"trat","2024-08",27.52,9.45,83.43,83,2024,08
"trat","2024-09",26.91,15.91,86.15,76,2024,09
"trat","2024-10",27.12,11.73,84.10,80,2024,10
"trat","2024-11",27.83,1.00,72.71,96,2024,11
"trat","2024-12",26.42,1.44,74.09,97,2024,12
"trat","2025-01",25.49,0.01,73.79,100,2025,01
"trat","2025-02",27.24,3.29,76.59,93,2025,02
"trat","2025-03",27.49,5.62,77.52,90,2025,03
"trat","2025-04",27.88,8.02,82.08,85,2025,04
"trat","2025-05",27.70,9.81,83.17,83,2025,05
"trat","2025-06",27.18,17.95,83.93,78,2025,06
"trat","2025-07",26.62,21.71,85.91,74,2025,07
"trat","2025-08",26.68,16.35,85.92,77,2025,08
"trat","2025-09",26.31,18.60,86.41,75,2025,09
"trat","2025-10",27.32,5.45,79.94,87,2025,10
"trat","2025-11",25.84,5.26,79.24,90,2025,11
"prachuap-khiri-khan","2020-01",27.31,0.31,71.96,98,2020,01
"prachuap-khiri-khan","2020-02",26.61,1.32,73.94,96,2020,02
"prachuap-khiri-khan","2020-03",28.80,0.12,69.16,99,2020,03
"prachuap-khiri-khan","2020-04",28.70,2.37,72.63,94,2020,04
"prachuap-khiri-khan","2020-05",29.98,1.91,71.29,91,2020,05
"prachuap-khiri-khan","2020-06",28.39,4.88,79.20,88,2020,06
"prachuap-khiri-khan","2020-07",28.58,3.80,76.31,91,2020,07
"prachuap-khiri-khan","2020-08",28.19,2.89,75.75,91,2020,08
"prachuap-khiri-khan","2020-09",27.94,6.03,79.94,88,2020,09
"prachuap-khiri-khan","2020-10",26.32,10.95,83.53,81,2020,10
"prachuap-khiri-khan","2020-11",27.27,1.01,74.13,95,2020,11
"prachuap-khiri-khan","2020-12",26.83,0.75,73.36,98,2020,12
"prachuap-khiri-khan","2021-01",25.42,0.25,74.60,98,2021,01
"prachuap-khiri-khan","2021-02",26.39,0.66,73.86,98,2021,02
"prachuap-khiri-khan","2021-03",27.80,1.09,72.56,95,2021,03
"prachuap-khiri-khan","2021-04",28.14,4.79,79.25,87,2021,04
"prachuap-khiri-khan","2021-05",28.95,1.83,73.60,91,2021,05
"prachuap-khiri-khan","2021-06",28.99,2.98,73.42,92,2021,06
"prachuap-khiri-khan","2021-07",28.21,3.85,77.18,90,2021,07
"prachuap-khiri-khan","2021-08",28.33,3.69,76.68,92,2021,08
"prachuap-khiri-khan","2021-09",26.86,6.43,81.30,86,2021,09
"prachuap-khiri-khan","2021-10",26.62,7.19,81.64,85,2021,10
"prachuap-khiri-khan","2021-11",25.83,7.29,81.29,87,2021,11
"prachuap-khiri-khan","2021-12",25.97,0.19,73.60,99,2021,12
"prachuap-khiri-khan","2022-01",26.55,0.82,73.82,97,2022,01
"prachuap-khiri-khan","2022-02",26.29,4.34,79.16,91,2022,02
"prachuap-khiri-khan","2022-03",28.21,2.14,74.21,95,2022,03
"prachuap-khiri-khan","2022-04",28.95,1.91,73.09,91,2022,04
"prachuap-khiri-khan","2022-05",27.20,8.34,80.87,85,2022,05
"prachuap-khiri-khan","2022-06",29.12,2.97,75.33,89,2022,06
"prachuap-khiri-khan","2022-07",27.84,5.18,79.73,88,2022,07
"prachuap-khiri-khan","2022-08",27.87,6.25,80.07,86,2022,08
"prachuap-khiri-khan","2022-09",27.31,6.41,82.00,85,2022,09
"prachuap-khiri-khan","2022-10",25.89,8.86,82.83,85,2022,10
"prachuap-khiri-khan","2022-11",26.32,4.79,79.13,90,2022,11
"prachuap-khiri-khan","2022-12",25.39,1.72,76.53,95,2022,12
"prachuap-khiri-khan","2023-01",25.96,0.33,74.04,99,2023,01
"prachuap-khiri-khan","2023-02",26.53,1.98,74.66,96,2023,02
"prachuap-khiri-khan","2023-03",27.48,0.68,72.68,97,2023,03
"prachuap-khiri-khan","2023-04",30.41,1.68,69.71,90,2023,04
